［港澳台］,#genre#

凤凰中文,http://ali.hlspull.yximgs.com/live/fa7cdfad1a5aaf8370eb7887844fh.flv
凤凰中文,http://php.17186.eu.org/phtv/fhzw.m3u8
凤凰资讯,http://php.17186.eu.org/phtv/fhzx.m3u8
凤凰香港,http://php.17186.eu.org/phtv/fhxg.m3u8
凤凰中文,http://111.20.40.166:80/PLTV/88888893/224/3221226547/index.m3u8
凤凰中文,http://113.117.74.26:8081/hls/37/index.m3u8
凤凰资讯,http://111.20.40.166:80/PLTV/88888893/224/3221226546/index.m3u8
凤凰香港,http://113.117.74.19:8081/hls/38/index.m3u8
凤凰中文,http://113.117.74.18:8081/hls/37/index.m3u8
凤凰中文,http://nsszds.f3322.net:8081/hls/37/index.m3u8
凤凰中文,http://120.84.96.21:808/hls/29/index.m3u8
凤凰资讯,http://113.117.74.18:8081/hls/36/index.m3u8
凤凰资讯,http://nsszds.f3322.net:8081/hls/36/index.m3u8
凤凰资讯,http://120.84.96.21:808/hls/28/index.m3u8
凤凰香港,http://113.117.74.29:8081/hls/38/index.m3u8
凤凰香港,http://162.19.247.76:22222/live/fenghuangxianggang/index.m3u8
星空卫视,http://113.117.74.18:8081/hls/87/index.m3u8
星空卫视,http://120.84.96.21:808/hls/79/index.m3u8
卫视音乐,http://vl15191373.imwork.net:8880/udp/239.93.0.157:2194
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视文旅,rtmp://ali-play.lezhibo.com/live/d803719995ab40df83fca5e638cac7f4
香港卫视文旅,http://ali-play.lezhibo.com/lezhibo/d803719995ab40df83fca5e638cac7f4.m3u8
中天新聞 HD,http://211.72.65.236:8541/.m3u8
中天新聞 HD,mitv://135.148.104.228:19806/dd4c2ce1c791486caac5b9014c08793e
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞 HD,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
民視新聞 HD,http://2023.stream-link.org/playlist/ftv_news
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民視新聞 HD,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民視新聞 HD,https://ytm2.yuanhsing.cf/FTVCP.m3u8
民視新聞 HD,,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民視新聞 HD,http://50.7.238.114:8278/ftvnew_taiwan/playlist.m3u8?tid=md953ce86cdad16241449&ct=17874&tsum=949d4aace793a001dd41392b210ba406
民視新聞 HD,http://198.16.100.90:8278/ftvnew_taiwan/playlist.m3u8?tid=ME4E4172771041727710&ct=19226&tsum=7b91c7af6212419479b392ff575e0689
民視新聞 HD,http://tv.redrainl.site:9500/live.m3u8?c=01
民視新聞 HD,mitv://generationnexxxt.com:19806/d476f3c5b56647bf872237ce4c9fff5d
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞 HD,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞 HD,http://50.7.238.114:8278/ttvnews_twn/playlist.m3u8?tid=MD9D1039476110394761&ct=19193&tsum=9f33349842788bfb7b0e90e93f7bf02c
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台視新聞 HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156398&extension=ts&play_token=UEKTIim7lP
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台視新聞 HD,,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台視新聞 HD,,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
台視新聞 HD,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台視新聞 HD,mitv://generationnexxxt.com:19806/3a402f366afa4a42bd0b16b432ebbdff
台視新聞 HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
台視新聞 HD,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
台視新聞 HD,http://ytm2.yuanhsing.cf/ttvnewsview.m3u8
華視新聞資訊 HD,mitv://135.148.104.228:19806/df1dd1276eb8474da3cd12334065f7dd
TVBS新聞 HD,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新聞,http://50.7.238.114:8278/tvbs_n/playlist.m3u8?tid=MC3C9358473393584733&ct=19193&tsum=38970ab977b9e318cbead37db4134eb8
東森新聞 HD,mitv://135.148.104.228:19806/a9b20866a39f45cbafacba9a002ee334
年代新聞 HD,http://50.7.238.114:8278/niandainews_twn/playlist.m3u8?ct=19226&tid=MA6A4647720946477209&tsum=48a66838dbcf633b2fb41307b29ef50a
年代新聞 HD,http://50.7.238.114:8278/niandainews_twn/playlist.m3u8?tid=MA6A4647720946477209&ct=19226&tsum=48a66838dbcf633b2fb41307b29ef50a
三立新聞 HD,mitv://135.148.104.228:19806/ff825aef42f04c589354d7d999b37792
三立新聞 HD,http://123.51.230.124:8531/.m3u8
三立新聞 HD,http://123.51.230.64:18559/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
壹新聞 HD,mitv://135.148.104.228:19806/c4815d36091444f4b75aa85a2d8e301f
壹新聞 HD,http://60.251.59.180:8501/.m3u8
非凡新聞,mitv://135.148.104.228:19806/a900ce1aac5d489b88d221c7b3ca098e
非凡新聞,http://123.51.230.124:8569/.m3u8
寰宇新聞 HD,mitv://135.148.104.228:19806/7e0e534ede5e4405a05ca5e668cb5fb1
寰宇新聞 HD,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
寰宇新聞 HD,http://61.221.81.93:8513/hls/65/807/ch843.m3u8
寰宇新聞 HD,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
東森電影 HD,http://162.19.247.76:22222/live/dsdyt/index.m3u8
東森洋片 HD,http://198.16.100.90:8278/ettvwestern/playlist.m3u8?tid=MC2C7134276471342764&ct=19225&tsum=4889d0c08d077336bd5066b912891aee
中国电影,http://lcx-olt.8866.org:8181/tsfile/live/1074_1.m3u8
TVBJ1,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153395
TVB1,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153396
TVBE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153398
TVB XING HE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153506
TVB CHINESE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153401
TVB CLASSIC,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153503
TVB E NEWS,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153504
TVB PEARL,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153399
TVB DRAMA,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153400
TVB JADE,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153505
FAIRCHILD WEST,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=90351
FAIRCHILD 2,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=90352
TVB 翡翠台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571187&extension=ts
TVB 星河頻道,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571186&extension=ts
TVB 經典台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571197&extension=ts
TVB 娛樂新聞台,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&stream=571188&extension=ts
民视,http://120.84.96.21:808/hls/34/index.m3u8
澳門莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳門蓮花,https://p.ggiptv.com/v/macaulotustv.php
澳亚卫视,http://107.151.203.111:2209/135/hk.php?id=aoya
TVB翡翠台,http://r.jdshipin.com/qClQf
TVB翡翠台,http://113.64.147.180:8081/hls/67/index.m3u8
TVB翡翠台,http://r.jdshipin.com/62WM7
TVB翡翠台,http://r.jdshipin.com/n90gt
TVB翡翠台,http://113.117.74.20:8081/hls/25/index.m3u8
TVB翡翠台,http://120.236.57.77:9901/tsfile/live/1076_1.m3u8
TVB明珠,http://r.jdshipin.com/ZQ4kN
TVB明珠,http://113.64.147.180:8081/hls/26/index.m3u8
TVB明珠,http://113.117.74.20:8081/hls/26/index.m3u8
J2@频道,http://107.167.12.58:27347/livehttpplay?channel_id=30030
J2@频道,http://107.167.12.58:27347/livehttpplay?channel_id=30023
J2@频道,http://107.167.12.58:27347/livehttpplay?channel_id=20122
J2@频道,http://andychuxdd.asuscomm.com:9981/stream/channelid/1563650536?profile=pass
有線新聞,http://61.10.2.141/live_freedirect/hd110_h.live/playlist.m3u8
TVB娱乐.新闻,http://4ksuper.live/play/live.php?mac=00:1A:79:50:63:9E&extension=ts&stream=153504
TVB 星河,http://nsszds.f3322.net:8081/hls/135/index.m3u8
龙祥电影,http://120.84.96.21:808/hls/35/index.m3u8
东森电影,http://120.84.96.21:808/hls/32/index.m3u8
东森电影,http://110.72.66.241:808/hls/99/index.m3u8
東森電影,http://162.19.247.76:22222/live/dsdyt/index.m3u8
东森洋片,http://120.84.96.21:808/hls/33/index.m3u8
好莱坞电影,http://120.84.96.21:808/hls/24/index.m3u8
天映经典,http://120.84.96.21:808/hls/85/index.m3u8
